,id,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
251,250080572,89.5,19,17,0,1,0,0,2
252,250076126,89.34,179,163,37.5,8,3,6,3
253,250126449,89.34,177,158,0,4,0,3,3
254,250129965,89.34,148,132,0,1,0,5,3
255,250174822,89.34,124,111,35.3,17,6,0,3
256,250173502,89.34,76,68,0,3,0,2,3
257,250112690,89.34,67,57,30,10,3,0,3
258,250172672,89,152,135,0,0,0,4,3
259,250158476,89,150,137,0,3,0,4,3
260,250046522,89,147,132,33.34,6,2,5,3
261,250096309,89,140,126,33.34,3,1,6,3
262,250135101,89,131,115,0,0,0,3,3
263,250096698,89,115,103,50,6,3,3,3
264,250129341,89,104,93,0,0,0,5,2
265,250101201,89,64,55,0,0,0,0,2
266,250078922,89,58,52,0,0,0,5,2
267,250007075,89,55,49,0,0,0,3,2
268,250096716,89,48,41,50,4,2,3,3
269,250189052,89,47,41,25,4,1,3,2
270,250077750,89,38,34,0,0,0,3,1
271,250117491,89,36,32,0,0,0,0,1
272,250174830,89,19,17,0,0,0,0,1
273,250132465,89,10,8,0,3,0,0,2
274,250172227,89,9,8,0,0,0,0,1
275,250121149,88.67,120,106,0,2,0,3,3
276,250024370,88.67,100,91,33.34,3,1,0,3
277,250058227,88.67,86,76,0,8,0,3,3
278,250132323,88.5,118,106,14.29,7,1,1,2
279,250066157,88.5,44,39,0,5,0,3,2
280,250105686,88.5,25,20,0,1,0,0,2
281,250068805,88.5,18,15,0,0,0,0,2
282,250068808,88.34,222,198,0,0,0,7,3
283,250136465,88.34,210,188,10,10,1,4,3
284,250188474,88.34,171,151,0,2,0,4,3
285,250168990,88.34,153,135,0,6,0,3,3
286,250139445,88.34,145,130,25,4,1,0,3
287,250016616,88.34,131,120,0,1,0,4,3
288,250122213,88.34,117,109,0,1,0,2,3
289,250069832,88.34,112,100,0,0,0,3,3
290,250101727,88.34,103,91,100,1,1,3,3
291,250092668,88,153,136,0,4,0,7,3
292,250118964,88,136,120,60,5,3,1,3
293,250019573,88,121,110,0,0,0,2,3
294,250064252,88,107,96,0,1,0,2,3
295,250091172,88,103,91,0,3,0,2,3
296,250145845,88,84,74,42.86,7,3,3,3
297,1907188,88,75,67,0,0,0,6,2
298,250113142,88,72,63,18.75,16,3,0,2
299,250115436,88,68,60,50,2,1,3,3
300,250019616,88,50,44,25,4,1,1,3
301,250057117,88,40,35,0,3,0,0,1
302,1906768,88,40,35,0,0,0,1,1
303,250171667,88,25,22,0,0,0,2,1
304,250177423,88,25,22,0,0,0,0,1
305,250164004,88,17,15,0,2,0,0,1
306,250055899,88,17,15,0,0,0,1,1
307,250090766,87.67,150,133,26.32,19,5,2,3
308,250102308,87.67,101,89,0,2,0,2,3
309,250071671,87.67,31,27,0,1,0,1,3
310,250064482,87.5,103,91,40,5,2,5,2
311,250055957,87.5,50,46,0,0,0,0,2
312,250101728,87.5,47,41,0,0,0,1,2
313,250129735,87.5,32,27,0,0,0,2,2
314,250121536,87.5,23,20,0,0,0,0,2
315,250121972,87.5,22,19,0,0,0,1,2
316,250096737,87.5,18,16,0,0,0,1,2
317,250006998,87.5,11,10,0,0,0,0,2
318,250041564,87.5,5,4,0,0,0,1,2
319,250143693,87.34,134,117,50,4,2,6,3
320,250085751,87.34,106,95,0,0,0,4,3
321,250140940,87.34,99,86,30,10,3,9,3
322,250153402,87.34,53,46,0,2,0,0,3
323,250163447,87.34,50,45,0,2,0,0,3
324,250168465,87.34,27,24,0,1,0,0,3
325,250163623,87,127,112,20,5,1,2,3
326,250110894,87,61,53,0,1,0,1,1
327,250089719,87,45,39,12.5,8,1,1,1
328,250121552,87,25,21,25,4,1,0,3
329,250153945,86.67,182,161,37.5,8,3,2,3
330,250113237,86.67,122,109,0,5,0,5,3
331,250017824,86.67,112,103,0,0,0,7,3
332,250154416,86.67,102,91,100,1,1,2,3
333,250051291,86.67,75,61,0,0,0,2,3
334,250171283,86.5,105,90,0,4,0,4,2
335,250196586,86.5,97,85,0,0,0,6,2
336,250079541,86.5,93,82,0,0,0,4,2
337,250154302,86.5,87,78,0,0,0,0,2
338,250106967,86.5,72,62,40,5,2,1,2
339,250058270,86.5,34,29,28.58,7,2,2,2
