,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
593,250198119,Anis Hadj Moussa,Algeria,Forward,,,,22,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250198119.jpg
594,250136445,Javi Serrano,Spain,Midfielder,,,,21,50124,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250136445.jpg
595,250180309,John Mellberg,Sweden,Defender,UNKNOWN,,,18,50030,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250180309.jpg
596,250194557,Alaa Ghram,Tunisia,Defender,,,,23,52707,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250194557.jpg
597,250088039,Brahim Díaz,Morocco,Midfielder,ATTACKING_MIDFIELDER,,,25,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250088039.jpg
598,250105681,Jakub Kiwior,Poland,Defender,UNKNOWN,,,24,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250105681.jpg
599,250165236,Ousmane Toure,France,Defender,,,,19,75797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250165236.jpg
600,1902445,Sven Ulreich,Germany,Goalkeeper,UNKNOWN,84.0,192.0,36,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/1902445.jpg
601,250121972,Douglas Luiz,Brazil,Midfielder,UNKNOWN,,,26,50139,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250121972.jpg
602,50327423,Frenkie de Jong,Netherlands,Midfielder,CENTRAL_MIDFIELDER,68.0,178.0,27,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/50327423.jpg
603,250181428,Hyunjun,Korea Republic,Midfielder,,,,22,50050,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250181428.jpg
604,250041771,Leon Goretzka,Germany,Midfielder,CENTRAL_MIDFIELDER,79.0,189.0,29,50037,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250041771.jpg
605,250153634,Giuliano Simeone,Argentina,Forward,,,,21,50124,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250153634.jpg
606,250200298,Kamory Doumbia,Mali,Midfielder,UNKNOWN,,,21,2601306,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250200298.jpg
