,id_player,fouls_committed,fouls_suffered,yellow_cards,red_cards
241,250067629,3,6,0,0
242,250004363,3,5,2,0
243,250091013,3,5,2,0
244,250132399,3,5,2,0
245,250187837,3,5,2,0
246,250139445,3,5,1,0
247,250174149,3,5,1,0
248,250186923,3,5,1,0
249,250123695,3,5,0,0
250,250108215,3,5,0,0
251,250196586,3,5,0,0
252,250172668,3,5,0,0
253,250117806,3,5,0,0
254,250043066,3,4,1,0
255,250196664,3,4,1,0
256,250127439,3,4,0,0
257,250128255,3,4,0,0
258,250145629,3,4,0,0
259,250129175,3,4,0,0
260,250166916,3,4,0,0
261,250088150,3,4,0,0
262,250013058,3,3,2,0
263,250186123,3,3,2,0
264,250187672,3,3,1,1
265,250131901,3,3,1,0
266,250023097,3,3,1,0
267,250032786,3,3,1,0
268,250091172,3,3,1,0
269,250187143,3,3,1,0
270,250162865,3,3,1,0
271,250051754,3,3,0,0
272,250086316,3,3,0,0
273,250127540,3,3,0,0
274,250200313,3,3,0,0
275,250081223,3,3,0,0
276,250154416,3,3,0,0
277,250198274,3,3,0,0
278,250039931,3,2,2,1
279,250121965,3,2,2,0
280,250065301,3,2,2,0
281,250163186,3,2,2,0
282,250070417,3,2,1,0
283,250134304,3,2,1,0
284,250146674,3,2,1,0
285,250113993,3,2,1,0
286,250126449,3,2,1,0
287,250019616,3,2,1,0
288,250132465,3,2,1,0
289,1902685,3,2,1,0
290,250099671,3,2,0,0
291,250024349,3,2,0,0
292,250079541,3,2,0,0
293,250146926,3,2,0,0
294,250188225,3,2,0,0
295,250029318,3,1,2,0
296,250196543,3,1,2,0
297,250122983,3,1,1,0
298,103335,3,1,1,0
299,250076631,3,1,1,0
300,250067334,3,1,1,0
301,250194564,3,1,1,0
302,250144288,3,1,1,0
303,250132195,3,1,1,0
304,250054969,3,1,1,0
305,250102866,3,1,0,0
306,250086789,3,1,0,0
307,250058270,3,1,0,0
308,250101723,3,1,0,0
309,50327423,3,1,0,0
310,250082664,3,1,0,0
311,250172340,3,0,3,0
312,250141610,3,0,2,0
313,250171045,3,0,2,0
314,50327420,3,0,1,0
315,250079003,3,0,1,0
316,250101284,3,0,1,0
317,250156002,3,0,1,0
318,250066157,3,0,1,0
319,250116067,3,0,1,0
320,250089276,3,0,1,0
321,250187221,3,0,0,0
322,250166930,3,0,0,0
323,250027008,3,0,0,0
324,250092194,3,0,0,0
325,250080471,3,0,0,0
326,250174849,3,0,0,0
327,250008901,3,0,0,0
328,250125538,2,13,0,0
329,250027780,2,8,1,0
330,250112400,2,8,1,0
331,250016833,2,8,0,0
332,250177886,2,8,0,0
333,250058722,2,8,0,0
334,250015966,2,8,0,0
335,250112217,2,7,0,0
336,250130234,2,7,0,0
337,250164991,2,7,0,0
338,250086037,2,6,1,0
339,250124430,2,6,1,0
340,250081555,2,6,1,0
341,250173126,2,6,0,0
342,250118281,2,5,1,0
343,250104939,2,5,1,0
344,250110894,2,5,1,0
345,250112880,2,5,0,0
346,250116951,2,5,0,0
347,250187067,2,5,0,0
348,250132401,2,4,1,0
349,98023,2,4,1,0
350,102153,2,4,1,0
