id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250172062,5,3,2,1,1
250122746,5,3,2,1,0
250196665,5,3,1,2,1
250187837,5,3,1,2,1
250023551,5,3,0,3,0
250153617,5,2,2,0,5
250113276,5,2,1,1,6
250154302,5,2,1,1,3
250055110,5,2,1,1,0
250088150,5,2,0,2,2
250086315,5,2,0,2,1
250126267,5,2,0,2,0
250056189,5,1,1,0,1
250135607,5,1,1,0,0
250127347,5,1,1,0,0
250089688,5,1,0,1,6
250187143,5,1,0,1,2
250064482,5,1,0,1,2
250052849,5,0,0,0,3
250023009,5,0,0,0,2
250081555,5,0,0,0,2
250143669,5,0,0,0,2
250105890,5,0,0,0,1
250052469,5,0,0,0,0
250078012,4,7,2,5,1
250115487,4,6,2,4,2
250171045,4,6,2,4,2
250166754,4,5,2,3,1
250194573,4,5,2,3,0
250187759,4,5,1,4,3
250183519,4,5,1,4,1
250178782,4,4,3,1,4
250176450,4,4,3,1,2
250064274,4,4,2,2,4
250117705,4,4,1,3,1
250127502,4,4,0,4,5
250056566,4,3,2,1,2
250180309,4,3,1,2,1
250081223,4,3,1,2,0
250128451,4,2,2,0,2
250064310,4,2,1,1,4
250099180,4,2,1,1,2
250106935,4,2,1,1,1
250096698,4,2,1,1,0
250089626,4,2,1,1,0
250108215,4,2,0,2,6
250132829,4,2,0,2,2
250193534,4,2,0,2,1
250056982,4,2,0,2,1
250105686,4,2,0,2,0
1906511,4,1,1,0,7
250127111,4,1,0,1,6
250067629,4,1,0,1,5
250129175,4,1,0,1,0
250010223,4,1,0,1,0
250008901,4,1,0,1,0
250079522,4,1,0,1,0
250052957,4,0,0,0,6
250080553,4,0,0,0,5
250182606,4,0,0,0,2
250161881,4,0,0,0,1
250164781,4,0,0,0,1
250112513,4,0,0,0,1
250081341,4,0,0,0,0
250132309,3,4,1,3,6
250171301,3,4,0,4,1
250002096,3,3,2,1,1
250116069,3,3,2,1,1
1902685,3,3,1,2,2
250196664,3,3,1,2,1
250162177,3,3,1,2,0
250123978,3,3,0,3,13
250115948,3,3,0,3,4
250010259,3,2,2,0,0
250068805,3,2,1,1,5
250164780,3,2,1,1,2
250138985,3,2,1,1,2
250196543,3,2,1,1,1
250104939,3,2,1,1,1
250058218,3,2,1,1,1
250146926,3,2,1,1,0
250156459,3,2,0,2,6
250098471,3,2,0,2,1
250053792,3,2,0,2,1
250113142,3,2,0,2,0
250081720,3,2,0,2,0
250061589,3,2,0,2,0
250171667,3,2,0,2,0
250073778,3,1,1,0,6
250014114,3,1,1,0,2
250128222,3,1,1,0,1
250117471,3,1,1,0,0
250112117,3,1,1,0,0
250064273,3,1,0,1,4
250196663,3,1,0,1,2
250199902,3,1,0,1,2
250124849,3,1,0,1,1
107044,3,1,0,1,1
250180059,3,1,0,1,1
250139101,3,1,0,1,0
250024795,3,1,0,1,0
250198120,3,1,0,1,0
250129343,3,1,0,1,0
250119144,3,0,0,0,2
250128943,3,0,0,0,1
250127149,3,0,0,0,1
250098468,3,0,0,0,0
250127024,3,0,0,0,0
250089228,2,6,1,5,3
250005231,2,6,1,5,1
250077453,2,6,0,6,0
250129735,2,5,3,2,2
