,team_id,country,team,logo
107,50139,Italy,Juventus,https://img.uefa.com/imgml/TP/teams/logos/70x70/50139.png
108,50023,France,AS Monaco,https://img.uefa.com/imgml/TP/teams/logos/70x70/50023.png
109,50124,Spain,Atlético de Madrid,https://img.uefa.com/imgml/TP/teams/logos/70x70/50124.png
110,50043,Belgium,Club Brugge KV,https://img.uefa.com/imgml/TP/teams/logos/70x70/50043.png
111,52758,Germany,Borussia Dortmund,https://img.uefa.com/imgml/TP/teams/logos/70x70/52758.png
112,50030,Austria,FC Salzburg,https://img.uefa.com/imgml/TP/teams/logos/70x70/50030.png
113,50031,Switzerland,BSC Young Boys,https://img.uefa.com/imgml/TP/teams/logos/70x70/50031.png
114,50033,Czechia,AC Sparta Praha,https://img.uefa.com/imgml/TP/teams/logos/70x70/50033.png
115,52816,Italy,Atalanta BC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png
116,50138,Italy,FC Internazionale Milano,https://img.uefa.com/imgml/TP/teams/logos/70x70/50138.png
117,50051,Spain,Real Madrid C.F.,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png
118,52683,England,Aston Villa FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52683.png
119,50149,Portugal,Sporting Clube de Portugal,https://img.uefa.com/imgml/TP/teams/logos/70x70/50149.png
120,7889,England,Liverpool FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/7889.png
121,52749,Netherlands,Feyenoord,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png
122,50062,Netherlands,PSV Eindhoven,https://img.uefa.com/imgml/TP/teams/logos/70x70/50062.png
123,50109,Germany,Bayer 04 Leverkusen,https://img.uefa.com/imgml/TP/teams/logos/70x70/50109.png
124,2603790,Germany,RB Leipzig,https://img.uefa.com/imgml/TP/teams/logos/70x70/2603790.png
125,2602798,Spain,Girona FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/2602798.png
126,52797,Slovakia,ŠK Slovan Bratislava,https://img.uefa.com/imgml/TP/teams/logos/70x70/52797.png
127,75797,France,LOSC Lille,https://img.uefa.com/imgml/TP/teams/logos/70x70/75797.png
128,52969,Italy,Bologna FC 1909,https://img.uefa.com/imgml/TP/teams/logos/70x70/52969.png
129,52919,England,Manchester City,https://img.uefa.com/imgml/TP/teams/logos/70x70/52919.png
130,52747,France,Paris Saint-Germain,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png
131,50080,Spain,FC Barcelona,https://img.uefa.com/imgml/TP/teams/logos/70x70/50080.png
132,50069,Serbia,FK Crvena Zvezda,https://img.uefa.com/imgml/TP/teams/logos/70x70/50069.png
133,52707,Ukraine,FC Shakhtar Donetsk,https://img.uefa.com/imgml/TP/teams/logos/70x70/52707.png
134,50147,Portugal,SL Benfica,https://img.uefa.com/imgml/TP/teams/logos/70x70/50147.png
135,50037,Germany,FC Bayern München,https://img.uefa.com/imgml/TP/teams/logos/70x70/50037.png
136,50107,Germany,VfB Stuttgart,https://img.uefa.com/imgml/TP/teams/logos/70x70/50107.png
137,2601306,France,Stade Brestois 29,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601306.png
138,50111,Austria,SK Sturm Graz,https://img.uefa.com/imgml/TP/teams/logos/70x70/50111.png
139,50058,Italy,AC Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png
140,50069,Serbia,FK Crvena Zvezda,https://img.uefa.com/imgml/TP/teams/logos/70x70/50069.png
141,52919,England,Manchester City,https://img.uefa.com/imgml/TP/teams/logos/70x70/52919.png
142,7889,England,Liverpool FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/7889.png
143,75797,France,LOSC Lille,https://img.uefa.com/imgml/TP/teams/logos/70x70/75797.png
144,2601306,France,Stade Brestois 29,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601306.png
145,52747,France,Paris Saint-Germain,https://img.uefa.com/imgml/TP/teams/logos/70x70/52747.png
146,50051,Spain,Real Madrid C.F.,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png
147,50031,Switzerland,BSC Young Boys,https://img.uefa.com/imgml/TP/teams/logos/70x70/50031.png
148,52797,Slovakia,ŠK Slovan Bratislava,https://img.uefa.com/imgml/TP/teams/logos/70x70/52797.png
149,50050,Scotland,Celtic FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/50050.png
150,50058,Italy,AC Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png
151,52816,Italy,Atalanta BC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52816.png
152,50109,Germany,Bayer 04 Leverkusen,https://img.uefa.com/imgml/TP/teams/logos/70x70/50109.png
153,50037,Germany,FC Bayern München,https://img.uefa.com/imgml/TP/teams/logos/70x70/50037.png
154,50030,Austria,FC Salzburg,https://img.uefa.com/imgml/TP/teams/logos/70x70/50030.png
155,50139,Italy,Juventus,https://img.uefa.com/imgml/TP/teams/logos/70x70/50139.png
156,50138,Italy,FC Internazionale Milano,https://img.uefa.com/imgml/TP/teams/logos/70x70/50138.png
157,52707,Ukraine,FC Shakhtar Donetsk,https://img.uefa.com/imgml/TP/teams/logos/70x70/52707.png
158,52683,England,Aston Villa FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52683.png
159,50124,Spain,Atlético de Madrid,https://img.uefa.com/imgml/TP/teams/logos/70x70/50124.png
160,50147,Portugal,SL Benfica,https://img.uefa.com/imgml/TP/teams/logos/70x70/50147.png
161,52749,Netherlands,Feyenoord,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png
162,50033,Czechia,AC Sparta Praha,https://img.uefa.com/imgml/TP/teams/logos/70x70/50033.png
163,52280,England,Arsenal FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52280.png
164,50111,Austria,SK Sturm Graz,https://img.uefa.com/imgml/TP/teams/logos/70x70/50111.png
165,50023,France,AS Monaco,https://img.uefa.com/imgml/TP/teams/logos/70x70/50023.png
166,50043,Belgium,Club Brugge KV,https://img.uefa.com/imgml/TP/teams/logos/70x70/50043.png
167,52758,Germany,Borussia Dortmund,https://img.uefa.com/imgml/TP/teams/logos/70x70/52758.png
168,50164,Croatia,GNK Dinamo,https://img.uefa.com/imgml/TP/teams/logos/70x70/50164.png
169,50062,Netherlands,PSV Eindhoven,https://img.uefa.com/imgml/TP/teams/logos/70x70/50062.png
170,50107,Germany,VfB Stuttgart,https://img.uefa.com/imgml/TP/teams/logos/70x70/50107.png
171,50080,Spain,FC Barcelona,https://img.uefa.com/imgml/TP/teams/logos/70x70/50080.png
172,50149,Portugal,Sporting Clube de Portugal,https://img.uefa.com/imgml/TP/teams/logos/70x70/50149.png
173,52969,Italy,Bologna FC 1909,https://img.uefa.com/imgml/TP/teams/logos/70x70/52969.png
